left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
2.0	3.0	failures	0.5	1.0	NA	1	1
4.0	5.0	G2	0.5	1.0	NA	2	1
6.0	7.0	G1	0.28125	1.0	NA	3	1
8.0	9.0	traveltime	0.8333333333333333	1.0	NA	4	1
10.0	11.0	health	0.875	1.0	NA	5	1
0.0	0.0	NA	0.0	-1.0	fail	6	1
12.0	13.0	freetime	0.75	1.0	NA	7	1
14.0	15.0	Fjob	4.0	1.0	NA	8	1
0.0	0.0	NA	0.0	-1.0	pass	9	1
0.0	0.0	NA	0.0	-1.0	pass	10	1
16.0	17.0	G1	0.46875	1.0	NA	11	1
18.0	19.0	G2	0.5	1.0	NA	12	1
0.0	0.0	NA	0.0	-1.0	pass	13	1
20.0	21.0	failures	0.16666666666666666	1.0	NA	14	1
22.0	23.0	reason	5.0	1.0	NA	15	1
24.0	25.0	age	0.2857142857142857	1.0	NA	16	1
0.0	0.0	NA	0.0	-1.0	pass	17	1
26.0	27.0	Walc	0.875	1.0	NA	18	1
0.0	0.0	NA	0.0	-1.0	pass	19	1
28.0	29.0	G1	0.34375	1.0	NA	20	1
0.0	0.0	NA	0.0	-1.0	fail	21	1
0.0	0.0	NA	0.0	-1.0	fail	22	1
30.0	31.0	studytime	0.16666666666666666	1.0	NA	23	1
32.0	33.0	studytime	0.16666666666666666	1.0	NA	24	1
0.0	0.0	NA	0.0	-1.0	fail	25	1
0.0	0.0	NA	0.0	-1.0	fail	26	1
0.0	0.0	NA	0.0	-1.0	pass	27	1
34.0	35.0	famrel	0.875	1.0	NA	28	1
36.0	37.0	health	0.875	1.0	NA	29	1
0.0	0.0	NA	0.0	-1.0	pass	30	1
38.0	39.0	Mjob	15.0	1.0	NA	31	1
0.0	0.0	NA	0.0	-1.0	pass	32	1
40.0	41.0	G2	0.5526315789473684	1.0	NA	33	1
42.0	43.0	famsup	1.0	1.0	NA	34	1
44.0	45.0	age	0.07142857142857142	1.0	NA	35	1
46.0	47.0	Mjob	6.0	1.0	NA	36	1
48.0	49.0	internet	1.0	1.0	NA	37	1
0.0	0.0	NA	0.0	-1.0	fail	38	1
50.0	51.0	famsize	1.0	1.0	NA	39	1
52.0	53.0	famrel	0.875	1.0	NA	40	1
0.0	0.0	NA	0.0	-1.0	pass	41	1
54.0	55.0	activities	1.0	1.0	NA	42	1
0.0	0.0	NA	0.0	-1.0	fail	43	1
0.0	0.0	NA	0.0	-1.0	fail	44	1
56.0	57.0	reason	2.0	1.0	NA	45	1
58.0	59.0	Medu	0.5	1.0	NA	46	1
60.0	61.0	romantic	1.0	1.0	NA	47	1
0.0	0.0	NA	0.0	-1.0	fail	48	1
0.0	0.0	NA	0.0	-1.0	pass	49	1
0.0	0.0	NA	0.0	-1.0	fail	50	1
62.0	63.0	G1	0.34375	1.0	NA	51	1
0.0	0.0	NA	0.0	-1.0	fail	52	1
0.0	0.0	NA	0.0	-1.0	pass	53	1
0.0	0.0	NA	0.0	-1.0	pass	54	1
0.0	0.0	NA	0.0	-1.0	fail	55	1
0.0	0.0	NA	0.0	-1.0	fail	56	1
0.0	0.0	NA	0.0	-1.0	pass	57	1
0.0	0.0	NA	0.0	-1.0	pass	58	1
0.0	0.0	NA	0.0	-1.0	fail	59	1
64.0	65.0	health	0.625	1.0	NA	60	1
0.0	0.0	NA	0.0	-1.0	pass	61	1
0.0	0.0	NA	0.0	-1.0	fail	62	1
0.0	0.0	NA	0.0	-1.0	pass	63	1
66.0	67.0	traveltime	0.3333333333333333	1.0	NA	64	1
0.0	0.0	NA	0.0	-1.0	fail	65	1
0.0	0.0	NA	0.0	-1.0	fail	66	1
0.0	0.0	NA	0.0	-1.0	pass	67	1
2.0	3.0	G2	0.5	1.0	NA	1	2
4.0	5.0	Fedu	0.375	1.0	NA	2	2
6.0	7.0	Walc	0.125	1.0	NA	3	2
8.0	9.0	health	0.375	1.0	NA	4	2
10.0	11.0	G2	0.4473684210526315	1.0	NA	5	2
12.0	13.0	activities	1.0	1.0	NA	6	2
0.0	0.0	NA	0.0	-1.0	pass	7	2
14.0	15.0	age	0.6428571428571428	1.0	NA	8	2
16.0	17.0	absences	0.013333333333333334	1.0	NA	9	2
18.0	19.0	health	0.125	1.0	NA	10	2
20.0	21.0	Mjob	6.0	1.0	NA	11	2
0.0	0.0	NA	0.0	-1.0	pass	12	2
22.0	23.0	guardian	1.0	1.0	NA	13	2
0.0	0.0	NA	0.0	-1.0	pass	14	2
0.0	0.0	NA	0.0	-1.0	fail	15	2
0.0	0.0	NA	0.0	-1.0	fail	16	2
24.0	25.0	guardian	3.0	1.0	NA	17	2
26.0	27.0	absences	0.013333333333333334	1.0	NA	18	2
0.0	0.0	NA	0.0	-1.0	fail	19	2
28.0	29.0	Fedu	0.625	1.0	NA	20	2
30.0	31.0	guardian	2.0	1.0	NA	21	2
32.0	33.0	famsize	1.0	1.0	NA	22	2
